Chinese	Pinyin	English	TimesUsed
利乏音谷北	lì fá yīn gǔ běi	north of the Rephaim Valley	1
尼弗多的	ní fú duō de	Nephtoah's	1
以弗仑山的	yǐ fú lún shān de	Ephron mountain's	1
巴拉就是	bā lā jiù shì	Balah is	1
转西	zhuǎn xī	turn west	1
基撒伦	jī sā lún	Kesalon	1
又下	yòu xià	also descended	1
到施基伦	dào shī jī lún	to Shikkeron	1
巴拉山	bā lā shān	Mount Baalah	1
交界的	jiāo jiè de	border's	1
支派中	zhī pài zhōng	tribe	1
地分为业	dì fēn wéi yè	got an inheritance	1
亚衲族的	yǎ nà zú de	of Anakites	1
亚巴的	yà bā de	of Arba	1
亚衲人三族	yà nà rén sān zú	three clans of Anakites	1
示筛族	shì shāi zú	Sheshai clan	1
亚希幔族	yà xī màn zú	Ahiman clan	1
挞买族	tà mǎi zú	Talmai clan	1
这底璧	zhè dǐ bì	this Debir	1
基列西弗城	jī liè xī fú chéng	Kiriath-sepher	1
我女儿	wǒ nǚ ér	my daughter	1
下驴	xià lǘ	dismounted a donkey	1
你要什么	nǐ yào shén me	what do you want	1
向你求	xiàng nǐ qiú	ask you for	1
极南边上的	jí nán biān shàng de	the very southern border of	1
以东交界的	yǐ dōng jiāo jiè de	bordering Edom of	1
雅姑珥	yǎ gū ěr	Jagur	1
基拿	jī ná	Kenah	1
底摩拿	dǐ mó ná	Dimonah	1
亚大达	yà dà dá	Adadah	1
以提楠	yǐ tí nán	Ithnan	1
提炼	tí liàn	refine	1
比亚绿	bǐ yà lǜ	Biall	1
哈大他	hā dà tā	Hadattah	1
迦略	jiā lüè	Galeed	1
希斯仑就是夏琐	xī sī lún jiù shì xià suǒ	Hesron is Hazor	1
亚曼	yà màn	Ammon	1
哈萨迦大	hā sà jiā dà	Hazakiah	1
黑实门	hēi shí mén	Heshmon	1
比斯约他	bǐ sī yuē tā	Bisvoth	1
以因	yǐ yīn	Yiin	1
以森	yǐ sēn	Yisen	1
基失	jī shī	Kish	1
三撒拿	sān sā ná	Sansannah	1
利巴勿	lì bā wù	Libnah	1
实忻	shí xīn	Shilhim	1
他普亚	tā pǔ yǎ	Japheth (name of Biblical figure)	1
以楠	yǐ nán	Enan (name of Biblical figure)	1
亚底他音	yà dǐ tā yīn	Adithaim	1
基底拉	jī dǐ lā	Kedela	1
基底罗他音	jī dǐ luó tā yīn	Kederothaim	1
共十四城	gòng shí sì chéng	total of fourteen cities	1
洗楠	xǐ nán	Xinan (name)	1
麦大迦得	mài dà jiā dé	Maidagad (name)	1
底连	dǐ lián	Dilian	1
波斯加	bō sī jiā	Bozkath	1
迦本	jiā běn	Jiabon	1
拉喜玛斯	lā xǐ mǎ sī	Laximas	1
基提利	jī tí lì	Kitili	1
共十六城	gòng shí liù chéng	a total of sixteen cities	1
益弗他	yì fú tā	Jephthah	1
尼悉	ní xī	Nezib	1
玛列沙	Mǎ liè shā	Mareshah	1
共九	gòng jiǔ	total nine	1
村庄。	cūn zhuāng	villages	1
属以革伦的	shǔ yǐ gé lún de	belonging to Ekron	1
沙密	shā mì	Shamir	1
大拿	dà ná	Dannah	1
基列萨拿	jī liè sà ná	Kiriath-sannah	1
基列萨拿就是	jī liè sà ná jiù shì	Kiriath-sannah is	1
以实提莫	yǐ shí tí mò	Eshtemoh	1
以珊	yǐ shān	Ishma	1
雅农	yǎ nóng	Jaan	1
伯他普亚	bó tā pǔ yà	Beth-tappuah	1
亚非加	yà fēi jiā	Aphekah	1
宏他	hóng tā	expand it	1
洗珥	xǐ ěr	Zior	1
共九城	gòng jiǔ chéng	nine cities in total	1
约甸	yuē diàn	Jokdeam	1
共十城	gòng shí chéng	ten cities in total	1
基突	jī tū	Jitu	1
玛腊	mǎ là	Marah	1
伯亚诺	bó yà nuò	Beth-ano	1
伊勒提君	yī lè tí jūn	Eltekon	1
共六	gòng liù	total six	1
密丁	mì dīng	Middin	1
西迦	xī jiā	Secacah	1
匿珊	nì shān	a proper name	1
盐城	yán chéng	Salt City	1
共六城	gòng liù chéng	six cities together	1
在耶路撒冷	zài Yē lù sā lěng	in Jerusalem	1
以法莲支派的地业	Yǐ fǎ lián zhī pài de dì yè	Ephraim tribe's territory	1
瑟子孙	Sè zǐ sūn	descendants of Ser	1
耶利哥水	Yē lì gē shuǐ	waters of Jericho	1
伯特利山	Bó tè lì shān	Bethel Mountain	1
又往西下	yòu wǎng xī xià	went down westward	1
押利提的	yā lì tí de	to the boundary of Asherite	1
下伯	xià bó	Lower Beth	1
和仑的	hé lún de	Horonite's	1
到海为	dào hǎi wéi	to the sea as	1
地。	dì 。	land.	1
以法莲子孙	yǐ fǎ lián zǐ sūn	descendants of Ephraim	1
地业的	dì yè de	land properties	1
他绿	tā lǜ	Ataroth-addar	1
密米他的	mì mǐ tā de	Mimtah's	1
他纳示罗	tā nà shì luó	Tanah Shiloh	1
由东边	yóu dōng biān	from the east side	1
雅挪	yǎ nuó	Janoah	1
雅挪哈	yǎ nuó hā	Janoah	1
海为尽头	hǎi wéi jìn tóu	to the sea as endpoint	1
这五族	zhè wǔ zú	these five clans	1
成族	chéng zú	complete clan	1
玛吉的	Mǎ jí de	Machi's	1
希弗的	Xī fú de	Hefer's	1
十阄	shí jiū	ten lots	1
孙女们	sūn nǚ men	granddaughters	1
玛拿西其余的	mǎ ná xī qí yú de	for the rest of Manasseh's	1
示剑的	shì jiàn de	Shechem's	1
又往	yòu wǎng	and toward	1
隐他普亚居民的	yǐn tā pǔ yà jū mín de	the residents of En Tappuah's	1
他普亚城	Tā pǔ yà chéng	the city of Tapuah	1
河南	hé nán	south of the river	1
河的	hé de	river's	1
北岸	běi àn	north bank	1
南归	nán guī	return south	1
北归	běi guī	return north	1
海为	hǎi wéi	the sea is	1
属伯善的	shǔ bó shàn de	belonging to Beth-shan	1
并属以伯莲的	bìng shǔ yǐ bó lián de	and belonging to Ephraim	1
一阄之地为业	yī jiū zhī dì wéi yè	a portion of land as a possession	1
法莲山	fǎ lián shān	Ephraim's hills	1
狭小	xiá xiǎo	small and narrow	1
人地	rén dì	people's land	1
那山	nà shān	that mountain	1
属伯善的乡里	shǔ Bó shàn de xiāng lǐ	regions belonging to Beth-shean	1
耶斯列平原	Yē sī liè píng yuán	Jezreel Plain	1
玛	mǎ	Manasseh (short form)	1
人虽	rén suī	people although	1
第十八章	dì shí bā zhāng	Chapter 18	1
色列	Sè liè	Israel	1
的会众	de huì zhòng	the congregation	1
都聚集	dōu jù jí	all gathered	1
在示罗	zài Shì luó	in Shiloh	1
已为	yǐ wéi	already	1
所服	suǒ fú	subdued	1
每支派	měi zhī pài	each tribe	1
图	tú	map	1
分七分	fēn qī fēn	divide into seven parts	1
注写	zhù xiě	annotated	1
在册子	zài cè zi	in the book	1
以色列的各支派	yǐ sè liè de gè zhī pài	each tribe of Israel	1
他们所得	tā men suǒ dé	what they obtained	1
两中间	liǎng zhōng jiān	between both	1
路斯的	lù sī de	of Luz	1
路斯就是伯特利	lù sī jiù shì bó tè lì	Luz is Bethel	1
又下到	yòu xià dào	also goes down to	1
亚他绿亚达	yà tā lǜ yà dá	Ataroth-addar	1
下伯和仑南之山	xià bó hé lún nán zhī shān	the southern hill below Beth-horon	1
山南	shān nán	south of the mountain	1
尼弗多亚	ní fú duō yà	Nephtoah	1
山边	shān biān	hillside	1
日泉	rì quán	sun spring	1
盐海的北汊	yán hǎi de běi chà	northern bay of the Salt Sea	1
约但河的极南	yuē dàn hé de jí nán	the far south of the Jordan River	1
城之	chéng zhī	of the city	1
明细	míng xì	details	1
众城邑	zhòng chéng yì	many cities	1
伊麦基悉	Yī mài jī xī	Emek Keziz	1
基法阿摩尼	Jī fǎ ā mó ní	Kephirammoni	1
俄弗尼	É fú ní	Ophni	1
伊利毗伊勒	yī lì pí yī lè	Eliphelet (name)	1
他拉拉	tā lā lā	Talara (name)	1
以勒弗	yǐ lè fú	Eleph	1
雅悯	yǎ mǐn	Benjamin	1
第十九章	dì shí jiǔ zhāng	Chapter nineteen	1
他们所得的	tā men suǒ dé de	they obtained	1
地业中间	dì yè zhōng jiān	in the midst of the land	1
比土力	bǐ tǔ lì	Bethul	1
伯玛加博	bó mǎ jiā bó	Beth-marcaboth	1
伯利巴勿	bó lì bā wù	Beth-lebaoth	1
沙鲁险	shā lǔ xiǎn	Sharuhen	1
利门	lì mén	Rimmon	1
巴拉比珥	Bā lā bǐ ěr	Baal Beer	1
中得的	zhōng dé de	obtained within	1
分过	fēn guò	portion too	1
中得地为业	zhōng dé dì wéi yè	gained land as property within	1
西布伦支派的份	Xī bù lún zhī pài de fèn	Zebulun tribe's share	1
玛拉拉	mǎ lā lā	Maralah	1
大巴设	dà bā shè	Dabbesheth	1
约念前	yuē niàn qián	before Jonan	1
向日头出的地方	xiàng rì tóu chū de dì fāng	toward where the sun rises	1
吉斯绿他泊的界	jí sī lǜ tā bó de jiè	to the boundary of Joktheel	1
特加汛	tè jiā xùn	Eth-kazin	1
临门米脱	lín mén mǐ tuō	Rimmon-methoar	1
尼亚	ní yà	Neah	1
哈拿顿	hā ná dùn	Hamath	1
加他	jiā tā	Jattah	1
拿哈腊	ná hā là	Nahalal	1
以大 拉	yǐ dà lā	Idalah	1
共十二城	gòng shí èr chéng	total of twelve cities	1
四阄	sì jiū	fourth lot	1
基苏律	Jī sū lǜ	Kisulon	1
哈弗连	hā fú lián	Havilah	1
示按	shì àn	Shur	1
亚拿哈拉	yà ná hā lā	Anaharath	1
拉壁	lā bì	Labi	1
利篾	lì miè	fine bamboo strips	1
隐哈大	yǐn hā dà	Yinhada	1
伯帕薛	bó pà xuē	Bopaxue	1
沙哈洗玛	shā hā xǐ mǎ	Shahazimah	1
哈利	hā lì	Hali (name)	1
比田	bǐ tián	Bitian (name)	1
亚拉米勒	Yà lā mǐ lè	Aramele	1
亚末	Yà mò	Amot	1
米示押	Mǐ shì yā	Mishab	1
希合立纳	Xī hé lì nà	Shihor-libnath	1
伯以墨	bó yǐ mò	Beth-emek	1
尼业	ní yè	Neiel	1
迦布勒	jiā bù lè	Cabul	1
义伯仑	yì bó lún	Hebron	1
又转回	yòu zhuǎn huí	turns back again	1
亚革悉地	yà gé xī dì	land of Akzib	1
到海	dào hǎi	to the sea	1
为尽头	wéi jìn tóu	as the end	1
乌玛	wū mǎ	Uma	1
二十二城	èr shí èr chéng	twenty-two cities	1
希利弗	xī lì fú	Hilif	1
撒南宁旁的	sā nán níng páng de	near the south of Sananing	1
亚大米尼吉	yà dà mǐ ní jí	Adaminegi	1
拉恭	lā gōng	Lakum	1
界的	jiè de	boundary's	1
亚斯纳他泊	yà sī nà tā bó	Asnath-bor	1
西丁	xī dīng	Ziddim	1
侧珥	cè ěr	Zer	1
拉甲	lā jiǎ	Rakkath	1
亚大玛	yà dà mǎ	Adamah	1
隐夏琐	yǐn xià suǒ	En-hazor	1
以利稳	yǐ lì wěn	Eltekon	1
密大伊勒	mì dà yī lè	Migdal-el	1
琏	liǎn	Leshem	1
拿弗他	ná fú tā	Naphtali	1
利支派	lì zhī pài	tribe of Naphtali	1
伊珥示麦	yī ěr shì mài	Ir-shemesh	1
沙拉滨	shā lā bīn	Shalabim	1
伊提拉	yī tí lā	Ithlah	1
亭拿他	tíng ná tā	Timnah	1
伊胡得	yī hú dé	Ehud	1
比尼比拉	bǐ ní bǐ lā	Beneberak	1
美耶昆	měi yē kūn	Me-yekun	1
拉昆	lā kūn	Lakun	1
祖但	zǔ dàn	ancestor Dan	1
亭拿西拉城	tíng ná xī lā chéng	city of Timnath-serah	1
修那城	xiū nà chéng	repaired that city	1
所记载	suǒ jì zǎi	recorded	1
嫩的儿子约书亚	nèn de ér zǐ yuē shū yǎ	Nun's son Joshua	1
各族长在示罗	gè zú zhǎng zài shì luó	each clan leader in Silo	1
在会幕门	zài huì mù mén	at the Tabernacle door	1
在主	zài zhǔ	in front of the Lord	1
所分的	suǒ fēn de	allocated	1
分地的	fēn dì de	dividing land	1
事完了	shì wán le	work was finished	1
误杀人的	wù shā rén de	manslaughter	1
人的地方	rén de dì fāng	place for people	1
收进	shōu jìn	take in	1
追了	zhuī le	chased	1
无仇恨	wú chóu hèn	without hatred	1
第二十一章	dì èr shí yī zhāng	Chapter 21	1
将这些	jiāng zhè xiē	took these	1
头一阄	tóu yī jiū	first lot	1
九城	jiǔ chéng	nine cities	1
基伯先	jī bó xiān	Gibbethon	1
十座	shí zuò	ten	1
革顺子孙	gé shùn zǐ sūn	descendants of Gershon	1
比施提拉	bǐ shī tí lā	Beeshterah	1
米沙勒	mǐ shā lè	Mishal	1
哈末多珥	hā mò duō ěr	Hammoth-dor	1
加珥坦	jiā ěr tǎn	Kartan	1
加珥他	jiā ěr tā	Kartah	1
丁拿	dīng ná	Dinah	1
拿哈拉	ná hā lā	Nahalal	1
第二十二章	dì èr shí èr zhāng	Chapter 22	1
诺言	nuò yán	promise	1
半支派人	bàn zhī pài rén	half-tribe people	1
守的	shǒu de	to keep	1
行主	xíng zhǔ	follow the Lord	1
守主	shǒu zhǔ	keep the Lord's	1
亲幕	qīn mù	cling to	1
河东	hé dōng	east of the river	1
险遭	xiǎn zāo	nearly suffered	1
脱净	tuō jìng	cleansed from	1
存下	cún xià	left behind	1
结婚姻	jié hūn yīn	intermarry	1
肋上	lèi shàng	on the side	1
第二十四章	dì èr shí sì zhāng	Chapter 24	1
回想	huí xiǎng	recall	1
马蜂	mǎ fēng	hornets	1
修治	xiū zhì	cultivate	1
挑战	tiǎo zhàn	challenge	1
亭讷西拉	tíng nè xī lā	Timnath-serah	1
基细	jī xì	pieces of silver	1
零碎物	líng suì wù	scraps	1
洗法城	xǐ fǎ chéng	Zephath city	1
迦勒从	Jiā lè cóng	Caleb from	1
亚衲的	Yà nà de	Anak's	1
基伦	jī lún	Kition	1
拿哈鹿	ná hā lù	Nahalol	1
亚柯	yà kē	Acho	1
亚黑拉	yà hēi lā	Ahlab	1
黑巴	hēi bā	Helbah	1
亚非革	yà fēi gé	Aphik	1
希烈山	xī liè shān	Mount Heres	1
亚雅伦	yà yǎ lún	Aijalon	1
沙押滨	shā yā bīn	Shaalbim	1
蝎子坡	xiē zi pō	Scorpion Pass	1
据获	jù huò	occupy and obtain	1
亭纳希烈	tíng nà xī liè	Timnath-heres	1
约书亚手中	yuē shū yǎ shǒu zhōng	into Joshua's hands	1
五伯	wǔ bó	five lords	1
巴力黑们	bā lì hēi mén	Baal-hermon	1
便雅悯支派	biàn yǎ mǐn zhī pài	tribe of Benjamin	1
便捷	biàn jié	skillful	1
两刃剑	liǎng rèn jiàn	double-edged sword	1
机密事	jī mì shì	secret matter	1
静避	jìng bì	withdraw quietly	1
后身	hòu shēn	back	1
大解	dà jiě	relieve himself	1
仆人等	pú rén děng	servants wait	1
不开	bù kāi	not open	1
倒在	dǎo zài	fell on	1
西伊拉	xī yī lā	Seirah	1
健壮的	jiàn zhuàng de	strong	1
服于	fú yú	submitted to	1
八十年	bā shí nián	eighty years	1
珊迦	shān jiā	Shamgar	1
赶牛	gǎn niú	ox-goad	1
耶宾王	yē bīn wáng	King Jabin	1
逞凶暴	chěng xiōng bào	acted cruelly	1
拉比多	lā bǐ duō	Lappidoth	1
基叠人	jī dié rén	Kedeshite	1
撒拿音	sā ná yīn	Zaanannim	1
夏琐王	xià suǒ wáng	King of Hazor	1
希百的	Xī bǎi de	Heber's	1
帐幕的	zhàng mù de	of the tent	1
轻悄悄地	qīng qiāo qiāo de	quietly	1
鬓边	bìn biān	temple	1
钉进去	dīng jìn qù	nail in	1
钉入	dīng rù	nailed into	1
鬓中	bìn zhōng	temple	1
天漏	tiān lòu	heavens pour	1
降水	jiàng shuǐ	rain	1
珊甲	shān jiǎ	Zibeon	1
居世	jū shì	live in the world	1
新神	xīn shén	new gods	1
便有	biàn yǒu	then there were	1
四万人	sì wàn rén	forty thousand people	1
白驴	bái lǘ	white donkey	1
绣花毯	xiù huā tǎn	embroidered carpet	1
当兴起	dāng xīng qǐ	should arise	1
持杖	chí zhàng	holding staffs	1
随他	suí tā	follow him	1
猛下	měng xià	rush down	1
酌度	zhuó duó	deliberate	1
港口	gǎng kǒu	harbor	1
古河	gǔ hé	ancient river	1
疾驰	jí chí	gallop	1
米罗斯	mǐ luó sī	Meroz	1
鬓角	bìn jiǎo	temple	1
打透	dǎ tòu	pierce through	1
西西拉母	xī xī lā mǔ	Sisera's mother	1
张望	zhāng wàng	look out	1
不回	bù huí	not return	1
车驾	chē jià	chariot	1
行得	xíng de	travel	1
迟缓	chí huǎn	slow	1
岂未	qǐ wèi	have they not	1
一二	yī èr	one or two	1
华彩	huá cǎi	splendid colors	1
锦绣	jǐn xiù	embroidered	1
衣件	yī jiàn	garments	1
可戴	kě dài	can wear	1
方升	fāng shēng	rising	1
烈烈	liè liè	intensely	1
势压	shì yā	oppress	1
挖穴	wā xué	dig caves	1
堡寨	bǎo zhài	fortresses	1
亚比以谢族人	yà bǐ yǐ xiè zú rén	Abiezrite	1
白面	bái miàn	fine flour	1
耶和华沙龙	yē hé huá shā lóng	Yahweh-Shalom	1
人称	rén chēng	people called	1
一挤	yī jǐ	squeeze once	1
哈律泉	hā lǜ quán	Harod Spring	1
摩利冈	mó lì gāng	Mount Moreh	1
舔水	tiǎn shuǐ	lap water	1
转入	zhuǎn rù	rolled into	1
空瓶	kōng píng	empty jars	1
瓶内	píng nèi	inside the jars	1
我到了	wǒ dào le	when I arrive	1
敌营的	dí yíng de	enemy camp's	1
你们也怎样行	nǐ men yě zěn yàng xíng	you also do as I do	1
初交	chū jiāo	beginning of	1
守更	shǒu gēng	watchmen	1
胡喊	hú hǎn	shout wildly	1
西利拉	xī lì lā	Zererah	1
伯哈示他	bó hā shì tā	Beth-shittah	1
他巴	tā bā	Tabbath	1
截杀	jié shā	cut off and kill	1
俄立磐	é lì pán	rock of Oreb	1
西伊伯酒醡	xī yī bó jiǔ zhà	winepress of Zeeb	1
你去	nǐ qù	you go	1
比得	bǐ dé	compare	1
过渡	guò dù	cross over	1
加各	jiā gè	Karkor	1
一万五千	yī wàn wǔ qiān	fifteen thousand	1
惊散	jīng sàn	scatter in panic	1
你手里	nǐ shǒu lǐ	in your hands	1
戴的	dài de	worn	1
铺开	pū kāi	spread out	1
耳垂子	ěr chuí zi	ear pendants	1
累及	lěi jí	involved	1
阿弗拉	ā fú lā	Ophrah	1
所施	suǒ shī	bestowed	1
母舅们	mǔ jiù men	maternal uncles	1
败类	bài lèi	worthless fellows	1
将这事	jiāng zhè shì	regarding this matter	1
基利心山顶	Jī lì xīn shān dǐng	Mount Gerizim	1
向众人	xiàng zhòng rén	towards the people	1
甜美的	tián měi de	sweet	1
为王	wéi wáng	as king	1
仇气	chóu qì	hostility	1
城长	chéng zhǎng	city ruler	1
怂恿	sǒng yǒng	incite	1
见机而行	jiàn jī ér xíng	act according to circumstances	1
山影	shān yǐng	mountain shadow	1
亚鲁玛	yà lǔ mǎ	Arumah	1
二队	èr duì	second team	1
冲杀	chōng shā	attack	1
撒上	sǎ shàng	sprinkle on	1
加们	jiā mén	Camun	1
玛云人	mǎ yún rén	Maonites	1
陀伯地	tuó bó dì	land of Tob	1
游闲人	yóu xián rén	idle men	1
陀伯	tuó bó	Tob	1
陈告	chén gào	declare	1
伊及上来	yī jí shàng lái	came up from Egypt	1
亚嫩到雅博	yà nèn dào yǎ bó	from Arnon to Jabbok	1
安然无事	ān rán wú shì	peacefully	1
绕了	rào le	went around	1
他女儿	tā nǚ ér	his daughter	1
姑且	gū qiě	for now	1
两月	liǎng yuè	two months	1
我就	wǒ jiù	then I	1
你们基列人	nǐ men Jī liè rén	you Gileadites	1
逃亡的人	táo wáng de rén	fugitives	1
示播列	shì bō liè	Shibboleth	1
字音	zì yīn	pronunciation	1
西播列	xī bō liè	Sibboleth	1
四万二千	sì wàn èr qiān	forty-two thousand	1
但族	dàn zú	tribe of Dan	1
一出胎	yī chū tāi	from birth	1
醉人之物	zuì rén zhī wù	intoxicating substances	1
必作	bì zuò	must be	1
细珥归	xì ěr guī	Nazarite to	1
将生	jiāng shēng	about to be born	1
听许	tīng xǔ	heard and granted	1
款留	kuǎn liú	entertain	1
升上去	shēng shàng qù	ascend	1
受纳	shòu nà	accept	1
不应许	bù yīng xǔ	not promise	1
禀告	bǐng gào	report to	1
吃者	chī zhě	the eater	1
甜的	tián de	what is sweet	1
强者	qiáng zhě	the strong	1
七日筵宴内	qī rì yán yàn nèi	within the seven-day feast	1
他才	tā cái	he then	1
他妻就	tā qī jiù	his wife then	1
寻出	xún chū	find out	1
嫁与	jià yǔ	marry to	1
缚	fù	tie	1
亭讷人	tíng nè rén	Timnite	1
丈人	zhàng rén	father-in-law	1
未干	wèi gān	not dry	1
堆得	duī de	piled up	1
两垒	liǎng lěi	two heaps	1
拉末利希	lā mò lì xī	Ramath-lehi	1
隐哈歌利	yǐn hā gē lì	En-hakkore	1
静悄悄	jìng qiāo qiāo	quietly	1
拆下来	chāi xià lái	tore down	1
梭烈谷	suō liè gǔ	Valley of Sorek	1
探探	tàn tàn	find out	1
大力气	dà lì qi	great strength	1
新索	xīn suǒ	new ropes	1
纬线	wěi xiàn	weft thread	1
同织	tóng zhī	weave together	1
钉住	dīng zhù	fasten	1
机上	jī shàng	on the loom	1
用话	yòng huà	with words	1
烦得	fán de	annoyed to	1
剃头刀	tì tóu dāo	razor	1
抖抖	dǒu dǒu	shake	1
剜了	wān le	gouged out	1
一靠	yī kào	lean on	1
双眼	shuāng yǎn	both eyes	1
托房	tuō fáng	supporting the house	1
房所	fáng suǒ	house place	1
赌过咒	dǔ guò zhòu	sworn an oath	1
设在	shè zài	set up in	1
神堂	shén táng	shrine	1
制作了	zhì zuò le	made	1
属犹大族的	shǔ yóu dà zú de	belonging to the tribe of Judah	1
伯利恒城	bó lì héng chéng	city of Bethlehem	1
馔食	zhuàn shí	food	1
闲居	xián jū	idle	1
无忧惧	wú yōu jù	without fear	1
物产	wù chǎn	produce	1
尊你	zūn nǐ	honor you	1
若父	ruò fù	as father	1
以法莲山中	yǐ fǎ lián shān zhōng	in the hills of Ephraim	1
妾行淫	qiè xíng yín	concubine commits adultery	1
一年零四月	yī nián líng sì yuè	one year and four months	1
她丈夫	tā zhàng fu	her husband	1
去见她	qù jiàn tā	go to see her	1
用话劝	yòng huà quàn	persuade with words	1
她回来	tā huí lái	she returns	1
引丈夫	yǐn zhàng fu	leads husband	1
她父家	tā fù jiā	her father's house	1
她父	tā fù	her father	1
欢欢喜喜地	huān huān xǐ xǐ de	joyfully	1
吃些	chī xiē	eat some	1
和他	hé tā	and his	1
走近	zǒu jìn	approach	1
迎请	yíng qǐng	invite	1
伯利恒来	bó lì héng lái	from Bethlehem	1
敲门	qiāo mén	knock on the door	1
淫合	yín hé	fornication	1
切分	qiē fēn	cut into parts	1
步军	bù jūn	foot soldiers	1
切了	qiē le	cut up	1
凶淫	xiōng yín	lewdness	1
幕里	mù lǐ	tent	1
合意	hé yì	agreeably	1
众军中	zhòng jūn zhōng	among the troops	1
挑选的	tiāo xuǎn de	selected	1
灵便的	líng biàn de	nimble	1
不着的	bù zháo de	without hitting	1
我们中	wǒ men zhōng	among us	1
罢兵	bà bīng	cease fighting	1
杀起人来	shā qǐ rén lái	start killing people	1
败逃	bài táo	defeated and flee	1
住扎	zhù zhā	encamp	1
巴力他玛	bā lì tā mǎ	Baal-tamar	1
杀到	shā dào	attack	1
基比亚前	jī bǐ yà qián	before Gibeah	1
二万五千一百	èr wàn wǔ qiān yī bǎi	twenty-five thousand one hundred	1
退避	tuì bì	retreat	1
杀进	shā jìn	attack and enter	1
初战	chū zhàn	first battle	1
前次	qián cì	previous time	1
上冲	shàng chōng	rush up	1
基顿	jī dùn	Gidom	1
天主面前	tiān zhǔ miàn qián	before the Lord	1
缺了	quē le	lack	1
一支	yī zhī	one	1
起过	qǐ guò	made	1
大誓	dà shì	solemn oath	1
查出	chá chū	found out	1
未嫁	wèi jià	unmarried	1
利波拿	lì bō ná	Libnah	1
抢了	qiǎng le	seized	1
任意而行	rèn yì ér xíng	did as they pleased	1
路得记	lù dé jì	Book of Ruth	1
当士师秉政	dāng shì shī bǐng zhèng	when the judges ruled	1
 伯利恒	bó lì hèng	Bethlehem	1
剩了	shèng le	left with	1
夫家	fū jiā	husband's family	1
可因	kě yīn	can because	1
依恋	yī liàn	cling to	1
同走	tóng zǒu	walk together	1
直走	zhí zǒu	walk straight	1
空空落落	kōng kōng luò luò	completely empty	1
情景	qíng jǐng	scene	1
收割人	shōu gē rén	reapers	1
打捆	dǎ kǔn	bind	1
使女们	shǐ nǚ men	maidservants	1
傢伙	jiā huo	utensils	1
素不	sù bù	never before	1
赏报	shǎng bào	reward	1
翼庇	yì bì	protection	1
捆中	kǔn zhōng	among the sheaves	1
抽出	chōu chū	pull out	1
安身	ān shēn	settle down	1
穿换	chuān huàn	change	1
麦堆	mài duī	wheat heap	1
悄悄地	qiāo qiāo de	quietly	1
翻身	fān shēn	turned over	1
一惊	yī jīng	a shock	1
波斯阿	bō sī ā	Boaz	1
更近	gèng jìn	closer	1
辨认	biàn rèn	recognize	1
嗣	sì	heir	1
继续	jì xù	continue	1
众妇人	zhòng fù rén	the women	1
养母	yǎng mǔ	foster mother	1
撒母耳上	sā mǔ ěr shàng	First Samuel	1
拉玛锁腓	lā mǎ suǒ féi	Ramathaim-zophim	1
托户	tuō hù	Tohu	1
双分	shuāng fēn	double portion	1
也都是	yě dōu shì	also always	1
求来	qiú lái	asked for	1
昂起	áng qǐ	lift up	1
无所不晓	wú suǒ bù xiǎo	omniscient	1
衡量	héng liáng	measure	1
庸人	yōng rén	common people	1
高贵	gāo guì	noble	1
己力	jǐ lì	own strength	1
轰击	hōng jī	strike	1
煮着	zhǔ zhe	boiling	1
三齿	sān chǐ	three-pronged	1
生肉	shēng ròu	raw meat	1
小长衣	xiǎo cháng yī	little robe	1
肥己	féi jǐ	enrich oneself	1
不尽绝	bù jìn jué	not completely cut off	1
饭吃	fàn chī	eat food	1
不常	bù cháng	not often	1
战起来	zhàn qǐ lái	engage in battle	1
战场上	zhàn chǎng shàng	on the battlefield	1
前日	qián rì	day before yesterday	1
英豪	yīng háo	heroes	1
说到	shuō dào	spoke about	1
错折	cuò zhé	broke	1
曲身	qū shēn	bent over	1
诸妇	zhū fù	women	1
男孩子	nán hái zi	boy	1
仍立	réng lì	re-erect	1
在原处	zài yuán chù	in its original place	1
残体	cán tǐ	remnant	1
喊嚷	hǎn rǎng	shout	1
大惊惶	dà jīng huáng	greatly terrified	1
震天	zhèn tiān	shake the heavens	1
送回去	sòng huí qù	send back	1
痊癒	quán yù	heal	1
迨	dài	until	1
金痔像	jīn zhì xiàng	golden hemorrhoid images	1
亚比勒	yà bǐ lè	Abel	1
基列耶琳人	jī liè yē lín rén	people of Kiriath-jearim	1
地事奉	de shì fèng	serve	1
单单地	dān dān de	solely	1
大雷霆	dà léi tíng	great thunder	1
伯甲	bó jiǎ	Beth-car	1
卑下	bēi xià	humbled	1
辇前	niǎn qián	before the chariot	1
做饭	zuò fàn	cook food	1
做饼	zuò bǐng	make bread	1
亚斐亚	yà fěi yà	Aphiah	1
比歌拉	bǐ gē lā	Becorath	1
洗罗	xǐ luó	Zeror	1
沙利沙地	shā lì shā dì	land of Shalisha	1
沙琳地	shā lín dì	land of Shalim	1
便雅悯地	biàn yǎ mǐn dì	land of Benjamin	1
苏弗地	sū fú dì	land of Zuph	1
尽了	jìn le	all gone	1
祝祭	zhù jì	bless the sacrifice	1
前三日	qián sān rì	three days ago	1
几头	jǐ tóu	several (animals)	1
管厨	guǎn chú	steward	1
管厨的	guǎn chú de	the steward	1
腿上	tuǐ shàng	on the leg	1
城隅	chéng yú	corner of the city	1
泄撒	xiè sǎ	Zelah	1
